,0,1,2,3
57816,-0.615801,-0.9552722,1.1793839,-0.032618135
66892,0.7092621,0.5202694,-1.2275386,0.23394911
68110,-3.161529,-0.32494986,1.1008394,0.9925488
33528,-0.039313495,1.8262501,-1.6324276,-0.37363023
34385,0.012001902,1.6368786,-1.385432,-0.834221
14017,1.1491376,-0.08403833,-0.75905097,0.35478446
30994,0.6415806,0.5560223,1.6746788,0.017629147
7716,0.33030972,-0.5688431,-0.09742899,-1.5327066
11714,0.24066381,0.50299984,-0.40533268,0.69232047
32893,-0.80275464,1.943904,-1.5102894,0.31071785
50469,2.23893,-0.038849175,0.3007146,-0.67199033
69687,0.57188666,-1.8878517,0.10268074,-0.2944048
40764,-1.3234844,-0.37020954,-0.079938024,-0.66658205
29158,-0.3243142,0.7099613,0.70649886,0.7302377
6757,0.018189251,-0.80970794,-1.7221205,0.11010367
6680,1.0492604,0.41147482,-0.88713694,-0.36989987
54028,-0.9912956,-0.14322788,0.6523912,0.74698365
60567,1.4115872,0.5161239,1.8291938,0.8055559
39147,0.2134698,0.7516241,1.2913731,-0.48098186
56706,2.2739215,0.7958314,-0.51744807,-0.34074646
45088,-0.28904125,-0.00795722,-0.7942009,-0.45373496
64446,-1.1655673,-0.37179226,3.6576517,-0.883196
6653,-0.82166386,-1.9138298,-1.4831686,0.13813698
67142,1.0149597,-2.0226617,-0.65623426,0.6647636
54464,-0.5469891,1.5335064,0.11714331,1.9936304
1180,0.15438384,-0.9684344,-1.2705829,0.1322568
10339,-1.7173184,1.0555291,0.7940683,0.41396233
26788,0.25488907,0.44396842,-0.9596365,0.12017816
52715,-0.521771,-0.9855335,1.3877832,0.6065935
51351,-0.30279326,-0.87121165,-0.7359079,0.23994038
44108,0.6180097,0.59417605,-0.69606256,-0.7236987
37666,1.2950134,-0.0818097,-1.6752349,0.725684
11397,0.2333174,0.8993874,-0.658461,-0.24120748
26278,1.7118742,0.0148816705,0.36710024,-1.0101703
17420,1.1954811,0.4307336,0.31382686,-0.9777023
70652,-0.21988136,-0.57821417,0.7781048,-1.6905026
65602,-1.3084868,-0.49292648,1.3667904,0.7602739
64525,-0.18541086,0.29119003,2.8938735,0.11954957
37817,-0.046428382,-2.038078,-0.54117566,-0.5779136
57960,0.53811073,-0.9398941,-0.2949862,1.0962604
6943,0.28142655,-1.080545,-1.3972523,0.74780416
6284,-0.8493105,-1.0673954,-0.9996551,-1.2947208
46628,-1.2416724,0.47954136,-0.2255714,-0.82355535
27976,1.9876026,-0.66578084,-0.8903011,0.7405963
63378,-0.28320807,0.2063309,2.6603713,-0.30644593
37196,-1.84375,1.8014928,-1.3128144,-0.3790235
6703,0.96125096,0.065883994,0.64352894,-1.3458761
10801,-1.8365772,-0.2986561,-0.8331381,-0.2726462
59167,0.3907429,0.60767925,1.9708326,0.16970712
29052,0.33435884,1.3744745,0.9546531,0.13619703
33681,2.1350183,1.8321059,-0.320453,1.0850614
9830,0.62716043,1.2380598,0.81947535,0.6552105
8366,1.1915109,0.14073217,0.17644292,-1.4962718
24420,-0.12078664,-0.6592283,-0.8011,0.1919998
13761,1.4212909,-0.06331903,0.77919984,-0.97207105
16453,-0.44160494,0.16373998,0.38245293,0.3687297
68750,-1.8658016,-0.77603316,0.000543952,1.0208421
26599,-0.12771311,1.2884877,0.5506619,1.1276478
56865,-1.6099428,1.4745882,2.3228803,-0.15633178
8629,-0.10124618,1.4563439,0.16621038,0.3352114
47479,1.4695461,-0.021834731,0.89524984,-0.75835323
35482,-0.548963,1.978374,-1.3015712,-0.9854499
17229,0.5150752,-0.7374854,-0.4241891,-0.36292225
19827,0.62095016,0.80234945,0.92244035,-0.41083622
59538,-0.8206955,-1.8580561,1.0931149,-0.35611862
